customer_id,transaction_date,amount
1,2025-05-11,32.85
1,2025-06-09,29.66
1,2025-07-11,21.49
1,2025-08-11,24.62
1,2025-09-08,35.91
1,2025-10-08,25.59
2,2025-11-08,9.99
2,2025-12-10,9.99
3,2023-04-30,9.99
4,2024-04-13,28.68
4,2024-05-06,24.83
4,2024-06-04,21.17
4,2024-07-01,28.75
4,2024-07-30,35.52
4,2024-08-29,28.1
4,2024-09-30,21.39
4,2024-10-30,25.32
4,2024-12-01,24.88
4,2024-12-30,34.31
4,2025-01-26,32.17
4,2025-02-22,39.15
4,2025-03-29,29.34
4,2025-04-28,34.94
4,2025-05-28,33.96
4,2025-06-29,24.3
4,2025-07-22,30.21
4,2025-08-21,31.01
4,2025-09-14,31.33
4,2025-10-08,28.2
4,2025-11-10,36.3
4,2025-12-07,31.32
5,2023-11-27,9.99
5,2023-12-28,9.99
5,2024-01-21,9.99
5,2024-02-26,9.99
5,2024-03-29,9.99
5,2024-04-24,9.99
5,2024-05-29,9.99
5,2024-06-26,9.99
5,2024-07-28,9.99
5,2024-08-27,9.99
5,2024-09-25,9.99
5,2024-10-18,9.99
5,2024-11-17,9.99
5,2024-12-18,9.99
5,2025-01-17,9.99
5,2025-02-21,9.99
6,2023-03-27,38.53
6,2023-04-30,30.4
6,2023-05-30,33.09
6,2023-06-24,31.99
6,2023-07-23,32.42
6,2023-08-20,30.37
6,2023-09-23,27.47
6,2023-10-21,23.0
6,2023-11-18,23.47
6,2023-12-18,29.63
6,2024-01-13,26.65
6,2024-02-12,25.53
6,2024-03-13,30.45
6,2024-04-12,34.38
6,2024-05-13,42.44
6,2024-06-15,28.44
6,2024-07-18,32.17
6,2024-08-19,24.88
6,2024-09-15,37.28
6,2024-10-15,30.81
6,2024-11-19,37.94
6,2024-12-22,33.4
6,2025-01-19,31.45
6,2025-02-19,26.37
6,2025-03-21,25.14
6,2025-04-21,32.16
6,2025-05-18,25.37
6,2025-06-14,31.28
6,2025-07-11,26.64
6,2025-08-13,24.13
6,2025-09-08,26.05
6,2025-10-03,28.67
6,2025-11-01,23.45
6,2025-12-02,22.25
6,2025-12-26,32.84
7,2025-05-23,36.99
7,2025-06-17,33.77
7,2025-07-23,25.95
7,2025-08-20,27.6
7,2025-09-21,39.2
7,2025-10-21,24.51
7,2025-11-19,29.96
8,2023-05-12,9.99
8,2023-06-03,9.99
8,2023-07-03,9.99
8,2023-07-30,9.99
8,2023-08-26,9.99
8,2023-09-26,9.99
8,2023-10-25,9.99
8,2023-11-25,9.99
8,2023-12-25,9.99
8,2024-01-27,9.99
8,2024-02-23,9.99
8,2024-03-24,9.99
8,2024-04-22,9.99
8,2024-05-18,9.99
8,2024-06-18,9.99
8,2024-07-16,9.99
8,2024-08-11,9.99
8,2024-09-08,9.99
8,2024-10-08,9.99
8,2024-11-04,9.99
8,2024-12-02,9.99
8,2024-12-30,9.99
8,2025-02-01,9.99
8,2025-03-02,9.99
9,2025-02-10,9.99
9,2025-03-09,9.99
9,2025-04-09,9.99
9,2025-05-04,9.99
9,2025-06-02,9.99
9,2025-07-04,9.99
9,2025-08-02,9.99
9,2025-08-31,9.99
9,2025-10-04,9.99
9,2025-11-03,9.99
9,2025-12-01,9.99
10,2023-12-11,9.99
11,2025-03-16,9.99
12,2024-01-19,9.99
12,2024-02-22,9.99
12,2024-03-25,9.99
12,2024-04-29,9.99
12,2024-05-26,9.99
12,2024-06-19,9.99
13,2025-08-15,9.99
14,2023-10-06,1042.94
15,2024-04-05,9.99
15,2024-05-04,9.99
15,2024-05-29,9.99
15,2024-06-28,9.99
15,2024-07-30,9.99
16,2023-01-21,28.2
16,2023-02-17,29.27
16,2023-03-20,40.69
16,2023-04-15,28.55
16,2023-05-09,38.81
17,2023-09-09,9.99
17,2023-10-09,9.99
17,2023-11-10,9.99
17,2023-12-11,9.99
17,2024-01-11,9.99
17,2024-02-06,9.99
18,2025-01-16,9.99
18,2025-02-16,9.99
18,2025-03-15,9.99
18,2025-04-17,9.99
18,2025-05-19,9.99
18,2025-06-16,9.99
18,2025-07-17,9.99
18,2025-08-20,9.99
18,2025-09-18,9.99
18,2025-10-15,9.99
18,2025-11-11,9.99
19,2025-05-07,9.99
19,2025-06-07,9.99
20,2024-04-20,31.34
20,2024-05-19,25.83
20,2024-06-15,31.91
20,2024-07-16,33.62
20,2024-08-16,26.57
20,2024-09-12,28.05
20,2024-10-12,30.24
20,2024-11-10,32.96
20,2024-12-05,25.07
20,2025-01-02,35.86
20,2025-02-05,29.3
20,2025-03-05,32.39
20,2025-04-03,38.66
20,2025-05-05,33.26
20,2025-05-30,23.98
20,2025-06-26,27.95
20,2025-07-27,33.62
21,2025-12-18,9.99
22,2024-05-27,30.15
22,2024-06-25,32.21
22,2024-07-23,33.04
22,2024-08-22,27.69
22,2024-09-19,33.09
22,2024-10-19,28.13
22,2024-11-15,32.16
22,2024-12-19,32.53
22,2025-01-16,32.54
22,2025-02-18,25.01
22,2025-03-17,26.08
22,2025-04-16,38.35
22,2025-05-14,37.94
22,2025-06-10,29.72
22,2025-07-11,27.28
22,2025-08-09,40.12
22,2025-09-08,39.54
22,2025-10-12,34.83
22,2025-11-13,28.01
22,2025-12-12,28.02
23,2024-12-01,9.99
23,2024-12-27,9.99
23,2025-01-30,9.99
23,2025-02-27,9.99
23,2025-04-01,9.99
23,2025-04-27,9.99
23,2025-05-27,9.99
23,2025-06-28,9.99
23,2025-07-24,9.99
23,2025-08-28,9.99
23,2025-09-21,9.99
23,2025-10-27,9.99
23,2025-11-22,9.99
23,2025-12-24,9.99
24,2025-09-04,9.99
24,2025-09-29,9.99
24,2025-10-28,9.99
24,2025-11-27,9.99
24,2025-12-27,9.99
25,2023-07-11,9.99
25,2023-08-05,9.99
25,2023-09-01,9.99
25,2023-10-02,9.99
25,2023-10-30,9.99
25,2023-12-01,9.99
25,2024-01-01,9.99
25,2024-01-30,9.99
25,2024-02-28,9.99
25,2024-03-30,9.99
25,2024-05-02,9.99
25,2024-05-27,9.99
25,2024-06-26,9.99
25,2024-07-29,9.99
25,2024-09-01,9.99
25,2024-10-01,9.99
25,2024-10-28,9.99
25,2024-11-25,9.99
25,2024-12-26,9.99
25,2025-01-22,9.99
25,2025-02-25,9.99
25,2025-03-27,9.99
25,2025-04-24,9.99
25,2025-05-28,9.99
25,2025-06-26,9.99
25,2025-07-25,9.99
25,2025-08-21,9.99
25,2025-09-18,9.99
26,2025-08-14,9.99
26,2025-09-16,9.99
26,2025-10-13,9.99
26,2025-11-09,9.99
27,2024-11-19,9.99
27,2024-12-18,9.99
27,2025-01-17,9.99
27,2025-02-10,9.99
27,2025-03-13,9.99
27,2025-04-13,9.99
27,2025-05-08,9.99
27,2025-06-05,9.99
27,2025-07-05,9.99
27,2025-08-06,9.99
27,2025-09-02,9.99
27,2025-10-07,9.99
27,2025-11-02,9.99
27,2025-12-04,9.99
28,2025-08-15,29.41
28,2025-09-16,27.2
28,2025-10-14,30.13
28,2025-11-13,18.86
28,2025-12-17,28.26
29,2024-07-16,33.88
29,2024-08-16,32.23
29,2024-09-19,26.55
29,2024-10-16,34.99
29,2024-11-16,34.11
29,2024-12-13,23.92
29,2025-01-20,29.37
29,2025-02-15,28.17
29,2025-03-15,35.71
30,2025-04-10,36.0
30,2025-05-12,17.19
30,2025-06-08,25.87
30,2025-07-07,26.46
30,2025-08-05,31.87
30,2025-09-04,29.44
30,2025-10-07,26.6
30,2025-11-02,35.81
30,2025-12-03,26.95
31,2024-10-06,31.24
31,2024-11-05,38.04
31,2024-12-04,26.92
31,2025-01-04,29.05
31,2025-01-30,36.8
31,2025-03-04,42.96
31,2025-03-28,29.87
31,2025-04-27,30.37
31,2025-05-22,30.36
31,2025-06-23,42.13
31,2025-07-25,22.06
31,2025-08-23,26.64
31,2025-09-19,26.42
31,2025-10-19,29.65
31,2025-11-19,29.81
31,2025-12-18,27.25
32,2023-01-22,1051.11
32,2024-01-19,1303.47
32,2025-01-21,801.06
33,2025-04-18,620.53
35,2024-01-22,9.99
35,2024-02-20,9.99
35,2024-03-21,9.99
35,2024-04-18,9.99
35,2024-05-17,9.99
35,2024-06-19,9.99
35,2024-07-16,9.99
35,2024-08-15,9.99
35,2024-09-20,9.99
35,2024-10-17,9.99
35,2024-11-16,9.99
35,2024-12-12,9.99
35,2025-01-13,9.99
35,2025-02-11,9.99
35,2025-03-13,9.99
35,2025-04-07,9.99
35,2025-05-06,9.99
35,2025-06-07,9.99
36,2024-08-22,9.99
36,2024-09-24,9.99
36,2024-10-23,9.99
36,2024-11-25,9.99
36,2024-12-21,9.99
36,2025-01-19,9.99
36,2025-02-19,9.99
36,2025-03-21,9.99
37,2023-11-13,9.99
37,2023-12-16,9.99
37,2024-01-14,9.99
37,2024-02-10,9.99
37,2024-03-12,9.99
37,2024-04-12,9.99
37,2024-05-14,9.99
37,2024-06-16,9.99
37,2024-07-16,9.99
38,2023-01-12,811.62
38,2024-01-12,765.19
38,2025-01-12,897.44
39,2023-08-28,9.99
39,2023-09-25,9.99
40,2025-02-13,29.95
41,2024-07-20,23.13
41,2024-08-21,30.07
41,2024-09-15,32.77
42,2025-06-15,9.99
42,2025-07-18,9.99
42,2025-08-18,9.99
42,2025-09-14,9.99
42,2025-10-14,9.99
42,2025-11-09,9.99
42,2025-12-09,9.99
43,2023-03-31,9.99
43,2023-05-03,9.99
43,2023-06-02,9.99
44,2025-08-13,9.99
44,2025-09-11,9.99
44,2025-10-08,9.99
44,2025-11-09,9.99
44,2025-12-10,9.99
45,2024-05-25,9.99
45,2024-06-23,9.99
45,2024-07-18,9.99
45,2024-08-20,9.99
45,2024-09-14,9.99
45,2024-10-16,9.99
45,2024-11-14,9.99
45,2024-12-12,9.99
45,2025-01-11,9.99
45,2025-02-09,9.99
45,2025-03-10,9.99
45,2025-04-04,9.99
45,2025-05-07,9.99
45,2025-06-03,9.99
45,2025-06-28,9.99
45,2025-07-27,9.99
45,2025-08-29,9.99
45,2025-09-25,9.99
45,2025-10-25,9.99
45,2025-11-21,9.99
45,2025-12-20,9.99
46,2025-02-16,9.99
46,2025-03-17,9.99
46,2025-04-16,9.99
46,2025-05-18,9.99
46,2025-06-16,9.99
46,2025-07-13,9.99
46,2025-08-12,9.99
46,2025-09-11,9.99
46,2025-10-08,9.99
46,2025-11-08,9.99
46,2025-12-11,9.99
47,2023-02-02,9.99
47,2023-03-05,9.99
47,2023-04-01,9.99
47,2023-05-01,9.99
48,2023-07-23,9.99
48,2023-08-24,9.99
48,2023-09-18,9.99
48,2023-10-23,9.99
48,2023-11-15,9.99
48,2023-12-17,9.99
48,2024-01-16,9.99
48,2024-02-13,9.99
48,2024-03-11,9.99
48,2024-04-06,9.99
48,2024-05-07,9.99
48,2024-06-04,9.99
48,2024-07-02,9.99
48,2024-07-28,9.99
48,2024-08-27,9.99
48,2024-09-28,9.99
48,2024-10-31,9.99
48,2024-11-28,9.99
48,2024-12-26,9.99
48,2025-01-27,9.99
48,2025-02-23,9.99
48,2025-03-20,9.99
48,2025-04-16,9.99
49,2025-10-22,9.99
49,2025-11-20,9.99
49,2025-12-18,9.99
50,2025-10-17,9.99
50,2025-11-15,9.99
50,2025-12-14,9.99
51,2024-07-19,9.99
51,2024-08-14,9.99
51,2024-09-15,9.99
51,2024-10-16,9.99
51,2024-11-08,9.99
51,2024-12-10,9.99
51,2025-01-03,9.99
51,2025-02-04,9.99
51,2025-03-04,9.99
51,2025-04-01,9.99
51,2025-05-01,9.99
51,2025-05-27,9.99
51,2025-06-26,9.99
51,2025-07-29,9.99
51,2025-08-25,9.99
51,2025-09-25,9.99
51,2025-10-26,9.99
51,2025-11-25,9.99
51,2025-12-26,9.99
52,2024-12-02,28.12
52,2024-12-31,34.89
53,2024-02-06,9.99
53,2024-03-03,9.99
53,2024-04-05,9.99
53,2024-05-04,9.99
53,2024-05-30,9.99
53,2024-07-04,9.99
53,2024-07-30,9.99
53,2024-08-29,9.99
53,2024-09-29,9.99
53,2024-10-30,9.99
54,2025-01-01,30.87
54,2025-01-26,27.18
54,2025-02-25,27.32
54,2025-03-21,20.63
54,2025-04-23,28.75
54,2025-05-21,26.29
54,2025-06-18,28.34
54,2025-07-18,30.64
54,2025-08-20,30.94
54,2025-09-21,31.65
54,2025-10-22,27.95
55,2023-06-13,25.38
55,2023-07-11,26.32
55,2023-08-12,32.24
55,2023-09-12,27.75
55,2023-10-06,32.79
55,2023-11-11,26.22
56,2023-07-22,24.7
56,2023-08-23,28.96
56,2023-09-20,38.21
56,2023-10-23,19.45
56,2023-11-23,31.77
56,2023-12-21,37.69
56,2024-01-22,36.54
57,2025-09-24,9.99
57,2025-10-24,9.99
57,2025-11-25,9.99
57,2025-12-24,9.99
58,2023-09-25,9.99
58,2023-10-24,9.99
58,2023-11-25,9.99
